iter	Passed	Remaining
0	62	12354
1	62	6193
2	62	4119
3	63	3094
4	63	2479
5	63	2068
6	64	1775
7	64	1555
8	65	1384
9	65	1247
10	66	1134
11	66	1041
12	66	961
13	67	893
14	67	834
15	68	783
16	68	737
17	68	696
18	69	660
19	69	627
20	70	598
21	70	571
22	71	546
23	71	524
24	71	503
25	72	484
26	72	466
27	73	449
28	73	433
29	74	419
30	74	405
31	74	392
32	75	380
33	75	369
34	76	358
35	76	348
36	76	338
37	77	329
38	77	320
39	78	312
40	78	304
41	78	296
42	79	289
43	79	282
44	80	275
45	80	269
46	80	262
47	81	256
48	81	251
49	82	246
50	82	241
51	82	235
52	83	231
53	83	226
54	84	221
55	84	217
56	84	213
57	85	208
58	85	204
59	86	201
60	86	197
61	86	193
62	87	190
63	87	186
64	88	182
65	88	179
66	88	176
67	89	173
68	89	170
69	89	167
70	90	164
71	90	161
72	91	158
73	91	156
74	92	153
75	92	150
76	92	148
77	93	146
78	93	143
79	94	141
80	94	138
81	94	136
82	95	134
83	95	132
84	96	130
85	96	128
86	97	126
87	97	124
88	97	122
89	98	120
90	98	118
91	99	116
92	99	114
93	99	112
94	100	110
95	100	109
96	101	107
97	101	105
98	101	103
99	102	102
100	102	100
101	102	98
102	103	97
103	103	95
104	104	94
105	104	92
106	105	91
107	105	89
108	105	88
109	106	86
110	106	85
111	107	84
112	107	82
113	107	81
114	107	79
115	108	78
116	108	77
117	109	75
118	109	74
119	109	73
120	110	71
121	110	70
122	110	69
123	111	68
124	111	66
125	111	65
126	112	64
127	112	63
128	113	62
129	113	61
130	113	59
131	114	58
132	114	57
133	114	56
134	115	55
135	115	54
136	115	53
137	116	52
138	116	51
139	117	50
140	117	49
141	117	48
142	118	47
143	118	46
144	119	45
145	119	44
146	120	43
147	120	42
148	120	41
149	121	40
150	121	39
151	122	38
152	122	37
153	122	36
154	123	35
155	123	34
156	123	33
157	123	32
158	124	31
159	124	31
160	124	30
161	125	29
162	125	28
163	125	27
164	125	26
165	126	25
166	126	25
167	127	24
168	127	23
169	128	22
170	128	21
171	128	20
172	129	20
173	129	19
174	129	18
175	130	17
176	130	16
177	130	16
178	131	15
179	131	14
180	132	13
181	132	13
182	133	12
183	133	11
184	133	10
185	134	10
186	134	9
187	134	8
188	135	7
189	135	7
190	135	6
191	135	5
192	136	4
193	136	4
194	136	3
195	137	2
196	137	2
197	138	1
198	138	0
199	138	0
