run_id,dataset_id,mode,task_type,target_column,model_name,model_category,parameters,selected_features,preprocessing,metrics,instruction,status,error_details,train_time,inference_time,extra_metadata
7a297c2b-f459-471b-b115-8cc827f983bc,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,KMeans,unsupervised,"{'algorithm': 'lloyd', 'copy_x': True, 'init': 'k-means++', 'max_iter': 300, 'n_clusters': 2, 'n_init': 'auto', 'random_state': 42, 'tol': 0.0001, 'verbose': 0}",['user_id'],"{'feature_types': {'numeric': ['user_id'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.6229754951162024, 'davies_bouldin_score': 0.49997462057763564, 'calinski_harabasz_score': 590.9999999999999, 'cluster_count': 2}","For an unsupervised dataset with normalized features, KMeans achieved silhouette score 0.62.",success,,0.004377,0.004428,{'feature_set_size': 1}
8d226254-8b34-4924-903b-8c1fe15a87ab,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,DBSCAN,unsupervised,"{'algorithm': 'auto', 'eps': 0.5, 'leaf_size': 30, 'metric': 'euclidean', 'metric_params': None, 'min_samples': 5, 'n_jobs': None, 'p': None}",['user_id'],"{'feature_types': {'numeric': ['user_id'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}",{},"For an unsupervised dataset, DBSCAN produced valid structure and evaluated clustering metrics with features user_id.",success,,0.002101,1.5e-05,{'feature_set_size': 1}
92b032bb-82a1-44cc-8a1d-6c9070b146c8,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,AgglomerativeClustering,unsupervised,"{'compute_distances': False, 'compute_full_tree': 'auto', 'connectivity': None, 'distance_threshold': None, 'linkage': 'ward', 'memory': None, 'metric': 'euclidean', 'n_clusters': 2}",['user_id'],"{'feature_types': {'numeric': ['user_id'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.6001881737042976, 'davies_bouldin_score': 0.4999788860267725, 'calinski_harabasz_score': 509.63043478260863, 'cluster_count': 2}","For an unsupervised dataset with normalized features, AgglomerativeClustering achieved silhouette score 0.60.",success,,0.001883,0.004117,{'feature_set_size': 1}
8d227c46-5aa2-40fa-8936-a6e329b984f2,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,GaussianMixture,unsupervised,"{'covariance_type': 'full', 'init_params': 'kmeans', 'max_iter': 100, 'means_init': None, 'n_components': 2, 'n_init': 1, 'precisions_init': None, 'random_state': 42, 'reg_covar': 1e-06, 'tol': 0.001, 'verbose': 0, 'verbose_interval': 10, 'warm_start': False, 'weights_init': None}",['user_id'],"{'feature_types': {'numeric': ['user_id'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.6229754951162024, 'davies_bouldin_score': 0.49997462057763564, 'calinski_harabasz_score': 590.9999999999999, 'cluster_count': 2}","For an unsupervised dataset with normalized features, GaussianMixture achieved silhouette score 0.62.",success,,0.003739,0.004238,{'feature_set_size': 1}
7a16ebe7-5d39-4e78-b31b-7a02684ccc33,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,Birch,unsupervised,"{'branching_factor': 50, 'compute_labels': True, 'copy': 'deprecated', 'n_clusters': 2, 'threshold': 0.5}",['user_id'],"{'feature_types': {'numeric': ['user_id'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.6229754951162024, 'davies_bouldin_score': 0.49997462063908343, 'calinski_harabasz_score': 591.0, 'cluster_count': 2}","For an unsupervised dataset with normalized features, Birch achieved silhouette score 0.62.",success,,0.00541,0.003655,{'feature_set_size': 1}
02b3e11d-a483-4e88-9cd4-1fa435abd33e,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,OPTICS,unsupervised,"{'algorithm': 'auto', 'cluster_method': 'xi', 'eps': None, 'leaf_size': 30, 'max_eps': inf, 'memory': None, 'metric': 'minkowski', 'metric_params': None, 'min_cluster_size': None, 'min_samples': 5, 'n_jobs': None, 'p': 2, 'predecessor_correction': True, 'xi': 0.05}",['user_id'],"{'feature_types': {'numeric': ['user_id'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}",{},"For an unsupervised dataset, OPTICS produced valid structure and evaluated clustering metrics with features user_id.",success,,0.142533,2.2e-05,{'feature_set_size': 1}
61b5d48c-ce28-48ff-96ea-a52c946fb5ff,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,MeanShift,unsupervised,"{'bandwidth': None, 'bin_seeding': False, 'cluster_all': True, 'max_iter': 300, 'min_bin_freq': 1, 'n_jobs': None, 'seeds': None}",['user_id'],"{'feature_types': {'numeric': ['user_id'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.5064508140481284, 'davies_bouldin_score': 0.49991596638655467, 'calinski_harabasz_score': 647.4342818993573, 'cluster_count': 4}","For an unsupervised dataset with normalized features, MeanShift achieved silhouette score 0.51.",success,,0.108041,0.003427,{'feature_set_size': 1}
bd14cdbe-f102-4618-a847-aa2d6b6f77e6,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,SpectralClustering,unsupervised,"{'affinity': 'rbf', 'assign_labels': 'kmeans', 'coef0': 1, 'degree': 3, 'eigen_solver': None, 'eigen_tol': 'auto', 'gamma': 1.0, 'kernel_params': None, 'n_clusters': 2, 'n_components': None, 'n_init': 10, 'n_jobs': None, 'n_neighbors': 10, 'random_state': 42, 'verbose': False}",['user_id'],"{'feature_types': {'numeric': ['user_id'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.6229754951162024, 'davies_bouldin_score': 0.49997462057763564, 'calinski_harabasz_score': 590.9999999999999, 'cluster_count': 2}","For an unsupervised dataset with normalized features, SpectralClustering achieved silhouette score 0.62.",success,,0.008896,0.002823,{'feature_set_size': 1}
91f6cd3b-095d-40b8-a5a7-4563e1e3a418,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,IsolationForest,unsupervised,"{'bootstrap': False, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 'auto', 'n_estimators': 100, 'n_jobs': None, 'random_state': 42, 'verbose': 0, 'warm_start': False}",['user_id'],"{'feature_types': {'numeric': ['user_id'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.26094893530071495, 'davies_bouldin_score': 28.727467878439523, 'calinski_harabasz_score': 0.21165769427427106, 'cluster_count': 2}","For an unsupervised dataset with normalized features, IsolationForest achieved silhouette score 0.26.",success,,0.085755,0.007903,{'feature_set_size': 1}
355317f3-db08-4dbd-8e69-a1d3f813f210,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,PCA,unsupervised,"{'copy': True, 'iterated_power': 'auto', 'n_components': 2, 'n_oversamples': 10, 'power_iteration_normalizer': 'auto', 'random_state': None, 'svd_solver': 'auto', 'tol': 0.0, 'whiten': False}",['user_id'],"{'feature_types': {'numeric': ['user_id'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'explained_variance_ratio': [1.0], 'explained_variance': 1.0}","For an unsupervised dataset, PCA produced valid structure and evaluated clustering metrics with features user_id.",success,,0.001412,0.000627,{'feature_set_size': 1}
ecbf1015-2152-42b2-803b-90a11ff5fb6c,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,KMeans,unsupervised,"{'algorithm': 'lloyd', 'copy_x': True, 'init': 'k-means++', 'max_iter': 300, 'n_clusters': 2, 'n_init': 'auto', 'random_state': 42, 'tol': 0.0001, 'verbose': 0}",['age'],"{'feature_types': {'numeric': ['age'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.6503912686886841, 'davies_bouldin_score': 0.4718414357541297, 'calinski_harabasz_score': 651.5524665918279, 'cluster_count': 2}","For an unsupervised dataset with normalized features, KMeans achieved silhouette score 0.65.",success,,0.001624,0.002892,{'feature_set_size': 1}
b9f3b150-0cf4-4ed2-baf2-dc1c04590887,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,DBSCAN,unsupervised,"{'algorithm': 'auto', 'eps': 0.5, 'leaf_size': 30, 'metric': 'euclidean', 'metric_params': None, 'min_samples': 5, 'n_jobs': None, 'p': None}",['age'],"{'feature_types': {'numeric': ['age'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}",{},"For an unsupervised dataset, DBSCAN produced valid structure and evaluated clustering metrics with features age.",success,,0.00186,1.2e-05,{'feature_set_size': 1}
0dce37ac-4a0a-46a7-9e66-2da3e9695261,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,AgglomerativeClustering,unsupervised,"{'compute_distances': False, 'compute_full_tree': 'auto', 'connectivity': None, 'distance_threshold': None, 'linkage': 'ward', 'memory': None, 'metric': 'euclidean', 'n_clusters': 2}",['age'],"{'feature_types': {'numeric': ['age'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.650308292723512, 'davies_bouldin_score': 0.4659772267781491, 'calinski_harabasz_score': 640.080823815445, 'cluster_count': 2}","For an unsupervised dataset with normalized features, AgglomerativeClustering achieved silhouette score 0.65.",success,,0.001123,0.002763,{'feature_set_size': 1}
6c12a531-19ea-45a6-b29d-c2f0a27f8dea,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,GaussianMixture,unsupervised,"{'covariance_type': 'full', 'init_params': 'kmeans', 'max_iter': 100, 'means_init': None, 'n_components': 2, 'n_init': 1, 'precisions_init': None, 'random_state': 42, 'reg_covar': 1e-06, 'tol': 0.001, 'verbose': 0, 'verbose_interval': 10, 'warm_start': False, 'weights_init': None}",['age'],"{'feature_types': {'numeric': ['age'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.650308292723512, 'davies_bouldin_score': 0.4659772267781491, 'calinski_harabasz_score': 640.080823815445, 'cluster_count': 2}","For an unsupervised dataset with normalized features, GaussianMixture achieved silhouette score 0.65.",success,,0.00224,0.003064,{'feature_set_size': 1}
dcd5a2e8-9b33-4891-bf5a-131e53b320d3,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,Birch,unsupervised,"{'branching_factor': 50, 'compute_labels': True, 'copy': 'deprecated', 'n_clusters': 2, 'threshold': 0.5}",['age'],"{'feature_types': {'numeric': ['age'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.5527301348243003, 'davies_bouldin_score': 0.5228171853980681, 'calinski_harabasz_score': 407.67408639951793, 'cluster_count': 2}","For an unsupervised dataset with normalized features, Birch achieved silhouette score 0.55.",success,,0.002198,0.00278,{'feature_set_size': 1}
866e0ec2-ef2c-4873-967e-7f73eac80f25,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,OPTICS,unsupervised,"{'algorithm': 'auto', 'cluster_method': 'xi', 'eps': None, 'leaf_size': 30, 'max_eps': inf, 'memory': None, 'metric': 'minkowski', 'metric_params': None, 'min_cluster_size': None, 'min_samples': 5, 'n_jobs': None, 'p': 2, 'predecessor_correction': True, 'xi': 0.05}",['age'],"{'feature_types': {'numeric': ['age'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.4732534556957777, 'davies_bouldin_score': 3.714748293504374, 'calinski_harabasz_score': 28.515186274715575, 'cluster_count': 23}","For an unsupervised dataset with normalized features, OPTICS achieved silhouette score 0.47.",success,,0.077013,0.005322,{'feature_set_size': 1}
2b95dc3d-98c1-4067-a8e3-7e0350775975,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,MeanShift,unsupervised,"{'bandwidth': None, 'bin_seeding': False, 'cluster_all': True, 'max_iter': 300, 'min_bin_freq': 1, 'n_jobs': None, 'seeds': None}",['age'],"{'feature_types': {'numeric': ['age'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.5295822473904812, 'davies_bouldin_score': 0.5348115108203602, 'calinski_harabasz_score': 591.2338821649348, 'cluster_count': 3}","For an unsupervised dataset with normalized features, MeanShift achieved silhouette score 0.53.",success,,0.154003,0.002987,{'feature_set_size': 1}
93349c0f-2ac8-42ee-a12d-401184744dbb,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,SpectralClustering,unsupervised,"{'affinity': 'rbf', 'assign_labels': 'kmeans', 'coef0': 1, 'degree': 3, 'eigen_solver': None, 'eigen_tol': 'auto', 'gamma': 1.0, 'kernel_params': None, 'n_clusters': 2, 'n_components': None, 'n_init': 10, 'n_jobs': None, 'n_neighbors': 10, 'random_state': 42, 'verbose': False}",['age'],"{'feature_types': {'numeric': ['age'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.6518303207375691, 'davies_bouldin_score': 0.4679048820697766, 'calinski_harabasz_score': 649.735403674046, 'cluster_count': 2}","For an unsupervised dataset with normalized features, SpectralClustering achieved silhouette score 0.65.",success,,0.00651,0.00292,{'feature_set_size': 1}
ef425f94-e0ac-49a3-af7b-04ba0db465b7,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,IsolationForest,unsupervised,"{'bootstrap': False, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 'auto', 'n_estimators': 100, 'n_jobs': None, 'random_state': 42, 'verbose': 0, 'warm_start': False}",['age'],"{'feature_types': {'numeric': ['age'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.023224096168774674, 'davies_bouldin_score': 5.020636914829472, 'calinski_harabasz_score': 4.5190469334562655, 'cluster_count': 2}","For an unsupervised dataset with normalized features, IsolationForest achieved silhouette score 0.02.",success,,0.082366,0.007936,{'feature_set_size': 1}
309cac2f-eee1-4562-8f44-45f6f081681e,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,PCA,unsupervised,"{'copy': True, 'iterated_power': 'auto', 'n_components': 2, 'n_oversamples': 10, 'power_iteration_normalizer': 'auto', 'random_state': None, 'svd_solver': 'auto', 'tol': 0.0, 'whiten': False}",['age'],"{'feature_types': {'numeric': ['age'], 'categorical': []}, 'scaling_enabled': True, 'encoding_enabled': True}","{'explained_variance_ratio': [1.0], 'explained_variance': 1.0}","For an unsupervised dataset, PCA produced valid structure and evaluated clustering metrics with features age.",success,,0.00107,0.000426,{'feature_set_size': 1}
c7220de9-55da-4066-8221-1339c6264744,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,KMeans,unsupervised,"{'algorithm': 'lloyd', 'copy_x': True, 'init': 'k-means++', 'max_iter': 300, 'n_clusters': 2, 'n_init': 'auto', 'random_state': 42, 'tol': 0.0001, 'verbose': 0}",['gender'],"{'feature_types': {'numeric': [], 'categorical': ['gender']}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 0.9426837156077417, 'davies_bouldin_score': 0.11392518262001033, 'calinski_harabasz_score': 1638.4287060301506, 'cluster_count': 2}","For an unsupervised dataset with normalized features, KMeans achieved silhouette score 0.94.",success,,0.001531,0.003923,{'feature_set_size': 1}
0992f1e7-ba70-462d-bb5e-b891feff1e16,46721137-519d-474b-bbda-f3e2c3975347,unsupervised,unsupervised,,DBSCAN,unsupervised,"{'algorithm': 'auto', 'eps': 0.5, 'leaf_size': 30, 'metric': 'euclidean', 'metric_params': None, 'min_samples': 5, 'n_jobs': None, 'p': None}",['gender'],"{'feature_types': {'numeric': [], 'categorical': ['gender']}, 'scaling_enabled': True, 'encoding_enabled': True}","{'silhouette_score': 1.0, 'davies_bouldin_score': 0.0, 'calinski_harabasz_score': 1.0, 'cluster_count': 3}","For an unsupervised dataset with normalized features, DBSCAN achieved silhouette score 1.00.",success,,0.001354,0.002896,{'feature_set_size': 1}
